Time,Type,Volume,BestAsk,asksize,BestBid,bidsize
2016-06-23 09:30:00,3,139,717,10,715.11,100
2016-06-23 09:30:00,5,100,717,10,715.11,100
2016-06-23 09:30:00,1,50,715.5,50,715.11,100
2016-06-23 09:30:00,4,2,715.5,48,715.11,100
2016-06-23 09:30:00,4,48,715.8,15,715.11,100
2016-06-23 09:30:00,4,15,715.88,300,715.11,100
2016-06-23 09:30:00,5,100,715.88,300,715.11,100
2016-06-23 09:30:00,5,85,715.88,300,715.11,100
2016-06-23 09:30:00,5,2,715.88,300,715.11,100
2016-06-23 09:30:00,1,100,715.88,300,715.5,100
2016-06-23 09:30:00,1,100,715.88,300,715.5,200
2016-06-23 09:30:00,5,13,715.88,300,715.5,200
2016-06-23 09:30:00,5,100,715.88,300,715.5,200
2016-06-23 09:30:00,4,87,715.88,213,715.5,200
2016-06-23 09:30:00,4,100,715.88,113,715.5,200
2016-06-23 09:30:00,4,113,716,1680,715.5,200
2016-06-23 09:30:00,4,100,716,1580,715.5,200
2016-06-23 09:30:00,4,5,716,1575,715.5,200
2016-06-23 09:30:00,4,1,716,1574,715.5,200
2016-06-23 09:30:00,4,4,716,1570,715.5,200
2016-06-23 09:30:01,4,100,716,1470,715.5,200
2016-06-23 09:30:01,5,100,716,1470,715.5,200
2016-06-23 09:30:01,4,69,716,1470,715.5,131
2016-06-23 09:30:01,3,31,716,1470,715.5,100
2016-06-23 09:30:01,4,3,716,1470,715.5,97
2016-06-23 09:30:01,4,97,716,1470,715.11,100
2016-06-23 09:30:02,5,39,716,1470,715.11,100
2016-06-23 09:30:02,1,61,716,1470,715.5,61
2016-06-23 09:30:02,1,37,716,1470,715.5,98
2016-06-23 09:30:02,4,51,716,1470,715.5,47
2016-06-23 09:30:02,1,7,716,1470,715.5,54
2016-06-23 09:30:02,1,100,716,1470,715.5,154
2016-06-23 09:30:02,1,100,716,1470,715.5,254
2016-06-23 09:30:03,4,3,716,1470,715.5,251
2016-06-23 09:30:03,4,7,716,1470,715.5,244
2016-06-23 09:30:03,4,37,716,1470,715.5,207
2016-06-23 09:30:03,4,7,716,1470,715.5,200
2016-06-23 09:30:03,4,100,716,1470,715.5,100
2016-06-23 09:30:03,4,100,716,1470,715.11,100
2016-06-23 09:30:03,5,100,716,1470,715.11,100
