Log_Return,Date
0.135144660330048,2018-01-01
0.0848034162791516,2018-01-02
0.0187303612934517,2018-01-03
0.0169797041158049,2018-01-04
0.0431174785014949,2018-01-05
0.101679863753588,2018-01-06
-0.00403182094829724,2018-01-07
0.123681347688016,2018-01-08
-0.034375534096835,2018-01-09
-0.0837489198415335,2018-01-10
0.097493595107486,2018-01-11
0.0923784722589112,2018-01-12
-0.0214615436259891,2018-01-13
-0.0563207885765067,2018-01-14
-0.203831284779176,2018-01-15
-0.0381488101129142,2018-01-16
0.0214879824714265,2018-01-17
0.00271752520370683,2018-01-18
0.105875295668201,2018-01-19
-0.0958401842211929,2018-01-20
-0.0451353345385597,2018-01-21
-0.017121403456561,2018-01-22
0.0709840250423266,2018-01-23
-0.00260070784097799,2018-01-24
-0.000814688345802672,2018-01-25
0.0480149038285989,2018-01-26
0.118229617125271,2018-01-27
-0.0524340255871012,2018-01-28
-0.0987982578002731,2018-01-29
0.0431044992610472,2018-01-30
-0.0756892307907959,2018-01-31
-0.124103126621997,2018-02-01
0.0513293938041786,2018-02-02
-0.144060162911454,2018-02-03
-0.178901938411886,2018-02-04
0.127828183338437,2018-02-05
-0.0465239988767303,2018-02-06
0.0771733075769792,2018-02-07
0.0776779487260608,2018-02-08
-0.0268895193051639,2018-02-09
-0.0546439902831191,2018-02-10
0.0642350495758768,2018-02-11
-0.0273639632507026,2018-02-12
0.0885949208986476,2018-02-13
0.0144208597591913,2018-02-14
0.00769094020830252,2018-02-15
0.0311807338898182,2018-02-16
-0.0529027633420558,2018-02-17
0.0213565439692482,2018-02-18
-0.0527450105987457,2018-02-19
-0.052035885583388,2018-02-20
-0.0446618368796212,2018-02-21
0.0612511211800264,2018-02-22
-0.0277767079122206,2018-02-23
0.00509693058020133,2018-02-24
0.028593799863911,2018-02-25
0.0102428399988463,2018-02-26
-0.0266142263384417,2018-02-27
0.0196846080069077,2018-02-28
-0.0177523623593512,2018-03-01
0.000433993091547791,2018-03-02
0.0109670880494113,2018-03-03
-0.0151063614555111,2018-03-04
-0.0439820224165706,2018-03-05
-0.081738345026932,2018-03-06
-0.0662161587843713,2018-03-07
0.033933920717347,2018-03-08
-0.0593843361909743,2018-03-09
0.0517037919382641,2018-03-10
-0.0330391079799295,2018-03-11
-0.012949400486435,2018-03-12
-0.117420684976702,2018-03-13
-0.00487437666791291,2018-03-14
-0.0158919059610145,2018-03-15
-0.084744231820868,2018-03-16
-0.0259034319345686,2018-03-17
0.0330183843374634,2018-03-18
0.000806130928889814,2018-03-19
0.00814550675862602,2018-03-20
-0.0400076753724621,2018-03-21
-0.000153813363592548,2018-03-22
-0.0247278553902817,2018-03-23
-0.00409629529025768,2018-03-24
-0.0677338558576786,2018-03-25
-0.0848000429949023,2018-03-26
-0.00856102160746897,2018-03-27
-0.145189868258389,2018-03-28
0.0222321679547006,2018-03-29
0.00458099004105872,2018-03-30
-0.0434310949302343,2018-03-31
0.0178012751266117,2018-04-01
0.075891837157517,2018-04-02
-0.0912304286547263,2018-04-03
0.00704135938284534,2018-04-04
-0.0343675466649902,2018-04-05
0.0397855831135594,2018-04-06
0.0386751580341151,2018-04-07
-0.00496098807413148,2018-04-08
0.0386800414312329,2018-04-09
0.0385874709603691,2018-04-10
0.135349256040744,2018-04-11
-0.0004180379841765,2018-04-12
0.0175882583357634,2018-04-13
0.0585234988598309,2018-04-14
-0.0394260049861437,2018-04-15
-0.0162777897690178,2018-04-16
0.0426168427826008,2018-04-17
0.0789296576377128,2018-04-18
0.0808631591534503,2018-04-19
-0.0169079251535633,2018-04-20
0.0268337923102688,2018-04-21
0.0327265187884098,2018-04-22
0.0972257791943054,2018-04-23
-0.140368772981812,2018-04-24
0.0741884080016879,2018-04-25
-0.0240911714001042,2018-04-26
0.0550912913297923,2018-04-27
0.00758149860749846,2018-04-28
-0.0279042249025556,2018-04-29
0.00549143686555897,2018-04-30
0.0198954083941922,2018-05-01
0.126156754232127,2018-05-02
0.00777044672102356,2018-05-03
0.0380830611011218,2018-05-04
-0.029607438159637,2018-05-05
-0.0499264105357256,2018-05-06
-0.00115225206824654,2018-05-07
-0.000773315591795942,2018-05-08
-0.03379458789707,2018-05-09
-0.067823604835568,2018-05-10
0.00946377046434321,2018-05-11
0.0668745478634518,2018-05-12
-0.00402578474612536,2018-05-13
-0.0301227972675662,2018-05-14
-0.00257215629319774,2018-05-15
-0.0498658530632508,2018-05-16
0.0317651302174431,2018-05-17
0.00311026149655991,2018-05-18
0.0266876136116947,2018-05-19
-0.0228302531195013,2018-05-20
-0.0764772986012838,2018-05-21
-0.104300816843169,2018-05-22
0.0306602425558005,2018-05-23
-0.0252788131915294,2018-05-24
0.000930176338094668,2018-05-25
-0.0251955626342575,2018-05-26
-0.10412964274233,2018-05-27
0.0913356693158542,2018-05-28
-0.0103078001477943,2018-05-29
0.0317551067803077,2018-05-30
0.00414276268922276,2018-05-31
0.0200799387859192,2018-06-01
0.0438384150704723,2018-06-02
-0.0418515660276757,2018-06-03
0.0271465681871943,2018-06-04
-0.00358255501881821,2018-06-05
-0.00319557043105334,2018-06-06
-0.00681443162517148,2018-06-07
-0.0058650251902348,2018-06-08
-0.126646611858035,2018-06-09
0.0128426573195348,2018-06-10
-0.0707800550021194,2018-06-11
-0.0397224853881273,2018-06-12
0.0847809730347908,2018-06-13
-0.0568802719728359,2018-06-14
0.0174395676413441,2018-06-15
0.00161185528847962,2018-06-16
0.0361901312388619,2018-06-17
0.0360847510542133,2018-06-18
-0.00314453011431137,2018-06-19
